Nominal,Empirical,kfold,subset,upper,lower,flat_empirical,flat_upper,flat_lower,Model
0.45,0.445515911282546,All,,0.456072203471553,0.435441779170685,-0.0044840887174542,0.00607220347155252,-0.0145582208293153,VAR
0.5,0.521817743490839,All,,0.53140368852459,0.511692381870781,0.021817743490839,0.0314036885245901,0.0116923818707811,VAR
0.55,0.593780135004822,All,,0.605415260366442,0.584314729990357,0.0437801350048216,0.0554152603664415,0.0343147299903568,VAR
0.6,0.663090646094504,All,,0.673577627772421,0.651937680810029,0.0630906460945034,0.0735776277724205,0.051937680810029,VAR
0.65,0.730351976856316,All,,0.740356798457088,0.720524951783992,0.0803519768563162,0.0903567984570878,0.0705249517839922,VAR
0.7,0.790139826422372,All,,0.799789054966249,0.78169599807136,0.0901398264223723,0.0997890549662488,0.0816959980713597,VAR
0.75,0.83980231436837,All,,0.847700699132112,0.83154230954677,0.0898023143683703,0.0977006991321119,0.0815423095467695,VAR
0.8,0.886451301832208,All,,0.892421046287367,0.878977820636451,0.0864513018322083,0.0924210462873674,0.0789778206364513,VAR
0.85,0.922010607521697,All,,0.927377651880424,0.916465766634523,0.0720106075216972,0.0773776518804242,0.0664657666345226,VAR
0.9,0.950337512054002,All,,0.954797492767599,0.945693707810993,0.0503375120540019,0.0547974927675988,0.0456937078109933,VAR
0.95,0.974566055930569,All,,0.978004459980714,0.971368731918997,0.024566055930569,0.0280044599807137,0.0213687319189971,VAR
0.05,0.0253134040501447,All,,0.0286885245901639,0.0221793635486982,-0.0246865959498554,-0.0213114754098361,-0.0278206364513018,MC
0.1,0.0589440694310511,All,,0.0637656702025072,0.0544780617164899,-0.0410559305689489,-0.0362343297974928,-0.0455219382835101,MC
0.15,0.0972757955641273,All,,0.103486620057859,0.0913060511089682,-0.0527242044358727,-0.0465133799421408,-0.0586939488910318,MC
0.2,0.131509161041466,All,,0.138621022179364,0.12409293635487,-0.0684908389585343,-0.0613789778206365,-0.0759070636451302,MC
0.25,0.172733847637416,All,,0.181171648987464,0.165489392478303,-0.0772661523625844,-0.0688283510125362,-0.0845106075216972,MC
0.3,0.214079074252652,All,,0.223062319189971,0.204252049180328,-0.0859209257473481,-0.0769376808100289,-0.0957479508196721,MC
0.35,0.263259402121504,All,,0.272179363548698,0.253134040501447,-0.0867405978784957,-0.0778206364513018,-0.0968659594985535,MC
0.4,0.310028929604629,All,,0.320217574734812,0.300626808100289,-0.0899710703953713,-0.0797824252651881,-0.0993731918997107,MC
0.45,0.357160077145612,All,,0.367894165863067,0.347085945033751,-0.0928399228543877,-0.0821058341369335,-0.102914054966249,MC
0.5,0.402965284474446,All,,0.412849566055931,0.392237222757956,-0.0970347155255545,-0.0871504339440694,-0.107762777242044,MC
0.55,0.447926711668274,All,,0.458293153326905,0.436291586306654,-0.102073288331726,-0.0917068466730955,-0.113708413693346,MC
0.6,0.494816779170685,All,,0.505424300867888,0.484570877531341,-0.105183220829315,-0.0945756991321118,-0.11542912246866,MC
0.65,0.580882352941177,All,,0.591920805207329,0.570630424300868,-0.0691176470588235,-0.0580791947926712,-0.0793695756991322,MC
0.7,0.652242044358727,All,,0.662924903567985,0.641920805207329,-0.0477579556412728,-0.0370750964320155,-0.0580791947926711,MC
0.75,0.711668273866924,All,,0.721374758919962,0.702627772420444,-0.0383317261330762,-0.0286252410800385,-0.0473722275795564,MC
0.8,0.770732883317261,All,,0.779963235294118,0.761692381870781,-0.0292671166827387,-0.0200367647058823,-0.0383076181292189,MC
0.85,0.829797492767599,All,,0.837391513982642,0.822082931533269,-0.0202025072324011,-0.0126084860173578,-0.0279170684667309,MC
0.9,0.893563162970106,All,,0.900192864030858,0.887352338476374,-0.00643683702989395,0.000192864030858275,-0.0126476615236258,MC
0.95,0.946841851494696,All,,0.951790019286403,0.941899710703954,-0.00315814850530372,0.0017900192864031,-0.00810028929604623,MC
0.05,0.0738910318225651,All,,0.0797402362584378,0.067921287367406,0.0238910318225651,0.0297402362584378,0.017921287367406,EMD
0.1,0.127531340405014,All,,0.133862704918033,0.120229628736741,0.0275313404050145,0.0338627049180328,0.0202296287367406,EMD
0.15,0.181533269045323,All,,0.189133317261331,0.173216007714561,0.0315332690453231,0.0391333172613308,0.0232160077145612,EMD
0.2,0.239151398264224,All,,0.247531943105111,0.230529773384764,0.0391513982642237,0.0475319431051109,0.0305297733847637,EMD
0.25,0.300385728061717,All,,0.310276036644166,0.290019286403086,0.0503857280617165,0.0602760366441659,0.0400192864030858,EMD
0.3,0.361378977820636,All,,0.371453109932498,0.349801108968177,0.0613789778206365,0.0714531099324976,0.0498011089681774,EMD
0.35,0.425024108003857,All,,0.434787849566056,0.414772179363549,0.0750241080038573,0.084787849566056,0.0647721793635487,EMD
0.4,0.492164898746384,All,,0.502474083895853,0.480282666345227,0.0921648987463838,0.102474083895853,0.0802826663452266,EMD
0.45,0.563042430086789,All,,0.572507835101254,0.55327868852459,0.113042430086789,0.122507835101254,0.10327868852459,EMD
0.5,0.625120540019286,All,,0.635486981677917,0.615953471552555,0.125120540019286,0.135486981677917,0.115953471552555,EMD
0.55,0.682135969141755,All,,0.692749517839923,0.672727820636451,0.132135969141755,0.142749517839923,0.122727820636451,EMD
0.6,0.729026036644166,All,,0.737533148505304,0.718831364513018,0.129026036644166,0.137533148505304,0.118831364513018,EMD
0.65,0.770612343297975,All,,0.77965887174542,0.760842574734812,0.120612343297975,0.129658871745419,0.110842574734812,EMD
0.7,0.813162970106075,All,,0.821841851494696,0.805264585342334,0.113162970106075,0.121841851494696,0.105264585342334,EMD
0.75,0.848722275795564,All,,0.856436837029894,0.841128254580521,0.0987222757955641,0.106436837029894,0.0911282545805208,EMD
0.8,0.877772420443587,All,,0.885004821600771,0.871022179363549,0.0777724204435872,0.0850048216007714,0.0710221793635486,EMD
0.85,0.904773384763742,All,,0.911047492767599,0.898384763741562,0.0547733847637416,0.0610474927675988,0.0483847637415622,EMD
0.9,0.930086788813886,All,,0.935092213114754,0.9243581243973,0.0300867888138862,0.0350922131147541,0.0243581243972998,EMD
0.95,0.956485053037608,All,,0.960887777242044,0.952507232401157,0.00648505303760849,0.0108877772420445,0.00250723240115724,EMD
